"ID"@"CONTRACT_NAME"@"DEPOSIT"@"END_DATE"@"LINK_ID"@"START_DATE"@"TS_TIMESTAMP"@"FI_ACCOUNT_ID"@"PD_CONTACT_PERSON_ID"@"CO_STATE_ID"@"CO_TYPE_ID"@"CO_PAYMENT_SCHEDULE_TYPE_ID"@"PD_SALES_PERSON_ID"@"IS_EXCLUDE_FROM_UNFLOWN_HOURS"@"IS_SHOWN_IN_PAYMENT_REQUEST"@"INCLUDE_DOMESTIC_RATE"@"ENABLE_MANAGEMENT_FEE"@"MINIMUM_REQUIRED_BALANCE"@"PAYMENT_TERMS"@"CONTRACT_MS_ID"@"PAYMENT_SCHEDULE_MS_ID"@"SYMBOL"
334@"CONTRACT #12"@0@31/01/13@12@01/02/11@18/04/13 15:58:30,084000000@15@163@4@1@1@163@0@0@0@@0@5@""@""@"€"
1328@"CONTRACT #20"@0@21/06/14@20@01/01/12@09/09/14 10:49:16,454000000@26@3208@4@1@1@163@0@0@0@@0@5@""@""@"€"
1407@"CONTRACT #25"@0@29/06/12@25@30/06/11@09/09/14 12:01:09,979000000@32@163@4@1@1@163@0@0@0@@0@5@""@""@"€"
220@"CONTRACT #26"@2000@31/12/13@26@01/01/12@12/07/12 00:28:00,954000000@35@226@1@1@5@226@0@0@0@@0@5@""@""@"€"
70845@"CONTRACT #51"@0@31/12/19@51@10/07/11@02/01/19 15:38:55,742000000@274@202@3@1@6@202@0@1@0@0@15825000@5@""@""@"$"
74944@"CONTRACT #53"@28150000@30/09/21@53@01/10/11@31/05/19 14:27:31,522000000@277@209@3@1@4@209@0@1@0@1@1000000@5@""@""@"€"
1603@"CONTRACT #57"@0@30/07/14@57@31/07/09@07/10/14 16:12:43,782000000@323@59@4@1@5@59@1@0@0@@0@5@""@""@"€"
20299@"CONTRACT #66"@0@12/06/15@66@13/06/12@26/10/16 10:26:17,527000000@490@209@4@1@4@209@0@0@0@@0@5@""@""@"€"
1392@"CONTRACT #73"@0@19/08/15@73@20/08/12@09/09/14 11:45:16,913000000@699@209@4@1@6@209@0@0@0@@0@5@""@""@"€"
1559@"CONTRACT #74"@0@06/09/14@74@07/09/12@07/10/14 11:15:22,778000000@729@89@4@1@6@89@0@0@0@@0@5@""@""@"€"
1566@"CONTRACT #79"@3255000@30/09/14@79@01/10/12@07/10/14 11:45:57,039000000@322@89@4@1@1@163@0@0@0@@0@5@""@""@"€"
1340@"CONTRACT #84"@0@25/11/13@84@26/11/12@09/09/14 10:54:25,778000000@1027@59@4@1@1@59@0@0@0@@0@5@""@""@"€"
1331@"CONTRACT #109"@0@08/08/14@109@09/08/13@09/09/14 10:50:51,075000000@1517@80083@4@1@1@80083@0@0@0@@0@5@""@""@"€"
72821@"CONTRACT #114"@27250000@17/06/16@114@18/06/13@03/04/19 12:22:19,997000000@1522@209@6@1@4@209@0@1@0@0@0@5@""@""@"€"
64668@"CONTRACT #120"@76104000@01/07/18@120@01/01/13@01/08/18 06:40:57,496000000@1286@154@4@1@4@154@0@0@0@0@0@5@""@""@"$"
1656@"CONTRACT #127"@0@14/09/14@127@15/09/13@15/10/14 11:06:34,174000000@1528@80083@4@1@5@204@0@0@0@@0@5@""@""@"€"
54552@"CONTRACT #136"@0@31/12/19@136@01/01/13@18/04/18 15:51:40,567000000@1503@154@3@1@1@154@0@0@0@0@0@5@""@""@"$"
1615@"CONTRACT #149"@0@31/10/14@149@01/11/13@07/10/14 16:35:19,716000000@1722@163@3@1@1@163@0@0@0@@0@5@""@""@"€"
1576@"CONTRACT #169"@0@17/04/15@169@18/12/13@07/10/14 12:24:25,889000000@1879@713@4@1@1@713@0@0@0@@0@5@""@""@"€"
1422@"CONTRACT #182"@0@03/03/14@182@13/01/13@09/09/14 12:15:31,759000000@1967@163@4@1@1@163@0@0@0@@0@5@""@""@"€"
27454@"CONTRACT #186"@0@04/04/17@186@05/04/14@25/04/17 10:37:36,016000000@2055@713@4@1@4@713@0@0@0@@0@5@""@""@"€"
41306@"CONTRACT #198"@60000000@02/03/18@198@03/03/14@20/10/17 20:07:21,280000000@2134@43570@4@1@4@43570@0@0@0@0@0@5@""@""@"$"
1579@"CONTRACT #210"@0@22/04/19@210@23/04/14@07/10/14 12:31:52,570000000@2227@3446@4@1@6@3446@0@0@0@@0@5@""@""@"€"
36353@"CONTRACT #213"@0@15/01/17@213@01/04/14@23/08/17 16:20:43,193000000@13@713@4@1@1@713@0@0@0@@0@5@""@""@"€"
49652@"CONTRACT #216"@0@30/06/16@216@01/07/14@20/02/18 17:07:03,614000000@2257@3446@4@1@6@3446@0@0@0@0@0@5@""@""@"€"
13995@"CONTRACT #221"@39875000@30/06/17@221@01/07/14@19/04/16 16:21:36,451000000@2295@43570@4@1@4@43570@1@0@0@@0@5@""@""@"$"
71644@"CONTRACT #224"@36086592@11/10/18@224@12/04/15@29/01/19 16:51:05,767000000@2326@224@4@1@4@224@0@1@0@0@3000000@5@""@""@"€"
68969@"CONTRACT #229"@11500000@28/08/17@229@09/08/14@17/11/18 20:24:15,041000000@2364@3907@4@1@4@3907@0@0@0@0@0@5@""@""@"€"
72833@"CONTRACT #231"@0@19/08/17@231@20/08/14@03/04/19 12:37:49,217000000@2398@224@6@1@4@224@1@1@0@0@0@5@""@""@"$"
39950@"CONTRACT #235"@0@13/09/17@235@14/09/14@29/09/17 10:58:32,990000000@359@89@4@1@3@89@0@0@0@@0@5@""@""@"$"
72834@"CONTRACT #236"@0@08/08/17@236@09/08/14@03/04/19 12:39:00,204000000@27@224@6@1@4@224@1@1@0@0@0@5@""@""@"€"
57017@"CONTRACT #238"@0@16/09/17@238@17/09/14@21/05/18 11:05:03,106000000@2519@202@4@1@4@202@1@1@0@0@0@5@""@""@"$"
40206@"CONTRACT #240"@11500000@17/09/17@240@18/09/14@02/10/17 18:31:16,972000000@2533@144535@4@1@4@144535@0@0@0@@0@5@""@""@"€"
71735@"CONTRACT #244"@0@22/09/18@244@15/08/14@04/02/19 14:13:15,961000000@2256@2479@4@1@5@2479@0@1@0@0@0@5@""@""@"€"
72812@"CONTRACT #246"@42750000@17/01/20@246@19/06/14@02/04/19 17:30:50,674000000@2250@713@3@1@4@713@0@1@0@0@1000000@5@""@""@"€"
69218@"CONTRACT #248"@0@31/10/17@248@01/09/14@23/11/18 12:23:44,439000000@2187@335@4@1@1@335@0@1@0@0@1000000@5@""@""@"€"
67594@"CONTRACT #255"@0@14/09/19@255@15/04/14@17/10/18 08:52:40,823000000@257@202@3@1@6@202@0@1@0@0@1500000@5@""@""@"€"
71419@"CONTRACT #264"@0@31/10/19@264@01/08/13@22/01/19 12:14:18,731000000@1512@100322@3@1@6@100322@0@1@0@0@1500000@5@""@""@"$"
1589@"CONTRACT #267"@34000000@06/10/17@267@07/10/14@07/10/14 15:12:07,360000000@2594@80083@1@1@4@80083@0@0@0@@0@5@""@""@"$"
